FFHQ Images MANIQA: 0.4525294564664364 | NIQE: 1229.204516409095
FFHQ Images MANIQA: 0.1947182510048151 | NIQE: 16.50331840728229
FFHQ Images MANIQA: 0.24105243012309074 | NIQE: 13.21222821902123
FFHQ Images MANIQA: 0.22354771476238966 | NIQE: 17.935271430332875
FFHQ Images MANIQA: 0.20550638111308217 | NIQE: 18.660964110595927
FFHQ Images MANIQA: 0.21961343195289373 | NIQE: 18.73408713295784
FFHQ Images MANIQA: 0.23427714593708515 | NIQE: 19.20027869401742
FFHQ Images MANIQA: 0.2284188698977232 | NIQE: 16.82964798207897
FFHQ Images MANIQA: 0.2447480484843254 | NIQE: 18.503606180778625
FFHQ Images MANIQA: 0.26409467682242393 | NIQE: 19.108885814202818
